1395;0;(2);06;19;
1395;0;(1);06;
1395;0;(1);19;
1394;0;(2);03;29;
1394;0;(1);03;
1394;0;(1);29;
1393;0;(2);32;41
1393;0;(1);32;
1393;0;(1);41;
1392;0;(2);19;31;
1392;0;(1);19;
1392;0;(1);31;
1391;0;(2);08;31;
1391;0;(1);08;
1391;10;(1);31;
1390;0;(2);08;31;
1390;0;(1);08;
1390;0;(1);31;
1389;0;(2);08;31;
1389;0;(1);08;
1389;0;(1);31;
1388;0;(2);22;36;
1388;0;(1);22;
1388;0;(1);36;
1387;0;(2);22;36;
1387;0;(1);22;
1387;0;(1);36;
1386;0;(1);44;
1386;0;(2);22;36;
1386;0;(1);22;
1386;0;(1);36;
1386;0;(2);31;44;
1386;0;(1);31;